Player 1,Player 2,Similarity
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","D. Ali (28, Arda, Bulgarian First League 22-23)",76.44231339567912
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","Y. Nenov (28, Lokomotiv Sofia 1929, Bulgarian First League 22-23)",1.7873124176819088
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","A. Nedyalkov (29, Ludogorets, Bulgarian First League 22-23)",35.653427818760555
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","M. Brahimi (24, Botev Plovdiv, Bulgarian First League 22-23)",13.051327817871591
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","M. Stoychev (19, Septemvri Sofia, Bulgarian First League 22-23)",29.235786709008355
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","M. Tsvetanov (32, Botev Vratsa, Bulgarian First League 22-23)",10.356866293285076
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","R. Herman (22, Botev Plovdiv, Bulgarian First League 22-23)",59.371771115719085
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","P. Zanev (37, OFK Pirin, Bulgarian First League 22-23)",59.11843710274819
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","Pipa (25, Ludogorets, Bulgarian First League 22-23)",52.37863651927351
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","Gustavo Cascardo (26, Beroe, Bulgarian First League 22-23)",27.34611203068522
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","D. Semeniv (24, OFK Pirin, Bulgarian First League 22-23)",-16.22546870239874
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","T. Rapnouil (22, Botev Vratsa, Bulgarian First League 22-23)",41.180574743288254
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","D. Gropper (24, Ludogorets, Bulgarian First League 22-23)",68.7075461826562
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","B. Franco (25, Lokomotiv Sofia 1929, Bulgarian First League 22-23)",46.14744707182057
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","Saná (23, Beroe, Bulgarian First League 22-23)",57.636284087803865
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","M. Sylla (24, Hebar 1918, Bulgarian First League 22-23)",43.17916172321643
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","N. Nikolaev (26, Hebar 1918, Bulgarian First League 22-23)",49.93591496700321
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","J. Frimpong (22, Bayer Leverkusen, Bundesliga 22-23)",-1.9844099509173727
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","Angeliño (26, Hoffenheim, Bundesliga 22-23)",46.58234927372927
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","A. Jung (31, Werder Bremen, Bundesliga 22-23)",22.09082724664448
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","M. Weiser (29, Werder Bremen, Bundesliga 22-23)",53.33444946622839
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","A. Caci (25, Mainz 05, Bundesliga 22-23)",61.896208451515896
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","Aarón Martín (26, Mainz 05, Bundesliga 22-23)",33.920330846849986
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","M. Richter (25, Hertha BSC, Bundesliga 22-23)",36.4489506172845
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","C. Trimmel (36, Union Berlin, Bundesliga 22-23)",24.268125608526407
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","P. Kadeřábek (31, Hoffenheim, Bundesliga 22-23)",55.38088249789367
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","S. Widmer (30, Mainz 05, Bundesliga 22-23)",25.36148225578379
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","M. Bakker (22, Bayer Leverkusen, Bundesliga 22-23)",13.189374986039391
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","J. Vagnoman (22, Stuttgart, Bundesliga 22-23)",-30.462748765682814
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","R. Skov (27, Hoffenheim, Bundesliga 22-23)",16.889822758408965
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","N. Gießelmann (31, Union Berlin, Bundesliga 22-23)",37.3064590510596
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","C. Lenz (28, Eintracht Frankfurt, Bundesliga 22-23)",36.76800095947776
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","Aurélio Buta (26, Eintracht Frankfurt, Bundesliga 22-23)",63.09233466691311
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","A. Knauff (21, Eintracht Frankfurt, Bundesliga 22-23)",12.943064254333676
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","D. da Costa (29, Mainz 05, Bundesliga 22-23)",49.83674843158701
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","J. Dina Ebimbe (22, Eintracht Frankfurt, Bundesliga 22-23)",1.1717053776866393
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","J. Roussillon (30, Union Berlin, Bundesliga 22-23)",39.3038732312875
"A. Lyaskov (25, CSKA 1948 Sofia, Bulgarian First League 22-23)","R. Sallai (26, Freiburg, Bundesliga 22-23)",17.838212312514848
