Player 1,Player 2,Similarity
"A. Rizza (20, Piacenza, Serie C 22-23)","T. Parisi (27, Piacenza, Serie C 22-23)",71.40227261586728
"A. Rizza (20, Piacenza, Serie C 22-23)","M. Capoferri (21, Piacenza, Serie C 22-23)",-4.623230968448285
"A. Rizza (20, Piacenza, Serie C 22-23)","W. Guerra (31, Picerno, Serie C 22-23)",54.53458369854607
"A. Rizza (20, Piacenza, Serie C 22-23)","M. Novella (22, Picerno, Serie C 22-23)",62.3187065479653
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Pagliai (21, Picerno, Serie C 22-23)",57.306606785034575
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Perretta (23, Pontedera, Serie C 22-23)",70.71726818782123
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Aurelio (23, Pontedera, Serie C 22-23)",36.01977956573944
"A. Rizza (20, Piacenza, Serie C 22-23)","L. Peli (23, Pontedera, Serie C 22-23)",55.67642257395325
"A. Rizza (20, Piacenza, Serie C 22-23)","M. Somma (21, Pontedera, Serie C 22-23)",36.62270682893594
"A. Rizza (20, Piacenza, Serie C 22-23)","Tiago Gonçalves (22, Pontedera, Serie C 22-23)",80.06554153344638
"A. Rizza (20, Piacenza, Serie C 22-23)","M. Bruscagin (33, Pordenone, Serie C 22-23)",41.95392127054059
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Benedetti (31, Pordenone, Serie C 22-23)",73.62900650086667
"A. Rizza (20, Piacenza, Serie C 22-23)","B. Gyamfi (27, Potenza, Serie C 22-23)",38.97595936202951
"A. Rizza (20, Piacenza, Serie C 22-23)","C. Hadžiosmanović (24, Potenza, Serie C 22-23)",69.93368489136759
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Volpe (20, Potenza, Serie C 22-23)",57.72766522917835
"A. Rizza (20, Piacenza, Serie C 22-23)","F. Rillo (22, Potenza, Serie C 22-23)",70.51514861397578
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Ndrecka (21, Pro Patria, Serie C 22-23)",87.4503495090881
"A. Rizza (20, Piacenza, Serie C 22-23)","F. Vezzoni (21, Pro Patria, Serie C 22-23)",33.109880183462344
"A. Rizza (20, Piacenza, Serie C 22-23)","C. Perotti (20, Pro Patria, Serie C 22-23)",31.78188008681557
"A. Rizza (20, Piacenza, Serie C 22-23)","L. Piran (19, Pro Patria, Serie C 22-23)",69.56976930373898
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Capelli (26, Pro Sesto, Serie C 22-23)",54.98610758233176
"A. Rizza (20, Piacenza, Serie C 22-23)","E. Maurizii (22, Pro Sesto, Serie C 22-23)",50.75972592382221
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Vaglica (20, Pro Sesto, Serie C 22-23)",43.46084551281553
"A. Rizza (20, Piacenza, Serie C 22-23)","R. Iezzi (23, Pro Vercelli, Serie C 22-23)",40.13704278543352
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Anastasio (26, Pro Vercelli, Serie C 22-23)",61.266362726107495
"A. Rizza (20, Piacenza, Serie C 22-23)","D. Ferretti (36, Recanatese, Serie C 22-23)",83.44874801226831
"A. Rizza (20, Piacenza, Serie C 22-23)","F. Somma (19, Recanatese, Serie C 22-23)",12.399164842324902
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Longobardi (20, Recanatese, Serie C 22-23)",35.845124763395106
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Quacquarelli (21, Recanatese, Serie C 22-23)",26.886386057740776
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Guiebre (25, Reggiana, Serie C 22-23)",59.3237069328043
"A. Rizza (20, Piacenza, Serie C 22-23)","D. Guglielmotti (29, Reggiana, Serie C 22-23)",47.85606359303485
"A. Rizza (20, Piacenza, Serie C 22-23)","L. Libutti (25, Reggiana, Serie C 22-23)",60.94267107245093
"A. Rizza (20, Piacenza, Serie C 22-23)","M. Possenti (30, Renate, Serie C 22-23)",17.63854074657889
"A. Rizza (20, Piacenza, Serie C 22-23)","M. Anghileri (32, Renate, Serie C 22-23)",68.3469657639008
"A. Rizza (20, Piacenza, Serie C 22-23)","F. Ermacora (23, Renate, Serie C 22-23)",2.9202545330773853
"A. Rizza (20, Piacenza, Serie C 22-23)","L. Colombini (22, Renate, Serie C 22-23)",39.690099175378975
"A. Rizza (20, Piacenza, Serie C 22-23)","L. Laverone (34, Rimini, Serie C 22-23)",70.27517090919429
"A. Rizza (20, Piacenza, Serie C 22-23)","V. Regini (32, Rimini, Serie C 22-23)",-2.931767379092513
"A. Rizza (20, Piacenza, Serie C 22-23)","K. Haveri (21, Rimini, Serie C 22-23)",47.75666805829743
"A. Rizza (20, Piacenza, Serie C 22-23)","N. Tofanari (25, Rimini, Serie C 22-23)",21.5898158347128
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Siniega (22, San Donato Tavarnelle, Serie C 22-23)",-17.55225538485091
"A. Rizza (20, Piacenza, Serie C 22-23)","P. Carcani (20, San Donato Tavarnelle, Serie C 22-23)",76.91724659050098
"A. Rizza (20, Piacenza, Serie C 22-23)","E. Rossi (22, San Donato Tavarnelle, Serie C 22-23)",76.48269733843311
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Montini (21, San Donato Tavarnelle, Serie C 22-23)",41.12097662664188
"A. Rizza (20, Piacenza, Serie C 22-23)","S. Zanon (21, Sangiuliano City, Serie C 22-23)",36.92654787658522
"A. Rizza (20, Piacenza, Serie C 22-23)","D. Zugaro (23, Sangiuliano City, Serie C 22-23)",37.95064574580641
"A. Rizza (20, Piacenza, Serie C 22-23)","P. Marchi (32, Sangiuliano City, Serie C 22-23)",-22.489432059948275
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Raimo (24, Siena, Serie C 22-23)",41.62303316026674
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Favalli (30, Siena, Serie C 22-23)",40.93770638703334
"A. Rizza (20, Piacenza, Serie C 22-23)","G. Mastromonaco (23, Taranto, Serie C 22-23)",80.24394990313932
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Ferrara (24, Taranto, Serie C 22-23)",61.32051740668327
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Boccadamo (23, Taranto, Serie C 22-23)",51.49073706016758
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Girgi (23, Torres, Serie C 22-23)",63.84350459045413
"A. Rizza (20, Piacenza, Serie C 22-23)","C. Fabriani (21, Torres, Serie C 22-23)",31.07676523678662
"A. Rizza (20, Piacenza, Serie C 22-23)","M. Lombardo (28, Torres, Serie C 22-23)",58.5711583715516
"A. Rizza (20, Piacenza, Serie C 22-23)","R. Pinna (23, Torres, Serie C 22-23)",-28.95238853974744
"A. Rizza (20, Piacenza, Serie C 22-23)","A. Fabbri (33, Trento, Serie C 22-23)",34.348137520766024
"A. Rizza (20, Piacenza, Serie C 22-23)","D. Galazzini (23, Trento, Serie C 22-23)",51.1582726471686
