Player,Similarity
"H. Ghacha (27, Antalyaspor, Süper Lig 22-23)",88.26411755550654
"C. Hayes (19, Fleetwood Town, League One 22-23)",86.16379925090935
"S. Moore (17, Cliftonville, Northern Ireland Premiership 22-23)",85.58271509262205
"S. Solari (25, Defensa y Justicia, Argentinian Primera División 2023)",85.32087572082942
"J. Da Sylva (26, Botev Vratsa, Bulgarian First League 22-23)",85.06907242872894
"I. Hajaj (21, Hapoel Afula, Liga Leumit 22-23)",84.99580754592118
"Úmaro Embaló (22, Fortuna Sittard, Eredivisie 22-23)",84.81689013366437
"N. Singh Akoijam (22, Neroca, I-League 22-23)",84.5176504642961
"Abde (24, Deportivo Alavés, La Liga 2 22-23)",84.27737093520847
"Mauro Rodrigues (22, Yverdon Sport, Swiss Challenge League 22-23)",84.12068633030354
"M. Çoba (23, Vllaznia Shkodër, Albanian Premier League 22-23)",84.02262246325851
"P. Smyth (25, Leyton Orient, League Two 22-23)",83.94086621597722
"Iñaki Elejalde (24, Algeciras, Primera División RFEF 22-23)",83.82629895011124
"Jajá (24, Dibba Al Fujairah, UAE Pro League 22-23)",83.26384054636489
"Borja Sainz (22, Giresunspor, Süper Lig 22-23)",83.13862136574197
"R. Ibarra (28, Pachuca, Liga MX 22-23)",83.08258230476143
"Y. Mabella (27, Excelsior Virton, Belgian First Division B 22-23)",83.01500927172424
"R. Hackett-Fairchild (25, Portsmouth, League One 22-23)",82.79871016370187
"A. Piftor (24, Dumbrăviţa, Romanian Liga II 22-23)",82.6798767976155
"O. Dale (24, Portsmouth, League One 22-23)",82.5849759123799
"T. Fosu (27, Rotherham United, Championship 22-23)",82.55232644845877
"S. Karweina (24, Austria Klagenfurt, Austrian Bundesliga 22-23)",82.44985209737496
"M. Walsh (22, Dungannon Swifts, Northern Ireland Premiership 22-23)",82.38592640825814
"J. Koroma (24, Huddersfield Town, Championship 22-23)",82.14951523676373
"Juanda Fuentes (20, Barcelona B, Primera División RFEF 22-23)",81.98294076157366
