Player 1,Player 2,Similarity
"D. Kulakov (37, Ural, Russian Premier League 22-23)","M. Nenakhov (24, Lokomotiv Moskva, Russian Premier League 22-23)",34.2680056448688
"D. Kulakov (37, Ural, Russian Premier League 22-23)","I. Yuldoshev (22, Nizhny Novgorod, Russian Premier League 22-23)",52.52793773265275
"D. Kulakov (37, Ural, Russian Premier League 22-23)","E. Shlyakov (31, Torpedo Moskva, Russian Premier League 22-23)",31.326943153763203
"D. Kulakov (37, Ural, Russian Premier League 22-23)","K. Pechenin (26, Orenburg, Russian Premier League 22-23)",76.7464555276108
"D. Kulakov (37, Ural, Russian Premier League 22-23)","A. Zuev (26, Krylya Sovetov, Russian Premier League 22-23)",35.78445057626928
"D. Kulakov (37, Ural, Russian Premier League 22-23)","B. Idowu (30, Khimki, Russian Premier League 22-23)",58.46963032462461
"D. Kulakov (37, Ural, Russian Premier League 22-23)","R. Utsiev (35, Akhmat Grozny, Russian Premier League 22-23)",-13.165116972936506
"D. Kulakov (37, Ural, Russian Premier League 22-23)","D. Zhivoglyadov (28, Lokomotiv Moskva, Russian Premier League 22-23)",80.31845934775694
"D. Kulakov (37, Ural, Russian Premier League 22-23)","S. Parshivlyuk (34, Dinamo Moskva, Russian Premier League 22-23)",8.856405865231354
"D. Kulakov (37, Ural, Russian Premier League 22-23)","R. Magal (31, Fakel, Russian Premier League 22-23)",69.6220512208196
"D. Kulakov (37, Ural, Russian Premier League 22-23)","A. Langovich (20, Rostov, Russian Premier League 22-23)",8.709806515710929
"D. Kulakov (37, Ural, Russian Premier League 22-23)","D. Todorović (26, Akhmat Grozny, Russian Premier League 22-23)",6.870084029251089
"D. Kulakov (37, Ural, Russian Premier League 22-23)","M. Stamatov (24, Orenburg, Russian Premier League 22-23)",49.95060127728615
"D. Kulakov (37, Ural, Russian Premier League 22-23)","B. Roganović (22, Torpedo Moskva, Russian Premier League 22-23)",32.79281763765133
"D. Kulakov (37, Ural, Russian Premier League 22-23)","Tomás Tavares (22, Spartak Moskva, Russian Premier League 22-23)",46.44782782533876
"D. Kulakov (37, Ural, Russian Premier League 22-23)","R. Yuzepchuk (25, Torpedo Moskva, Russian Premier League 22-23)",46.76397635096777
"D. Kulakov (37, Ural, Russian Premier League 22-23)","D. Kornyushin (21, Nizhny Novgorod, Russian Premier League 22-23)",38.14749425177394
"D. Kulakov (37, Ural, Russian Premier League 22-23)","N. Antić (29, Khimki, Russian Premier League 22-23)",-3.5265037495007414
"D. Kulakov (37, Ural, Russian Premier League 22-23)","S. Petrov (32, Krasnodar, Russian Premier League 22-23)",-2.830885013396065
"D. Kulakov (37, Ural, Russian Premier League 22-23)","H. Al Zbadeen (0, Al Akhdoud, Saudi First Division 22-23)",-4.452331150112428
"D. Kulakov (37, Ural, Russian Premier League 22-23)","Khalid Al-Soubaiy (23, Al Qaisoma, Saudi First Division 22-23)",52.97507370291563
"D. Kulakov (37, Ural, Russian Premier League 22-23)","S. Al Shahri (0, Al Kholood, Saudi First Division 22-23)",27.675650437722148
"D. Kulakov (37, Ural, Russian Premier League 22-23)","Mohammed Homairan (0, Al Arabi, Saudi First Division 22-23)",63.30819687594457
"D. Kulakov (37, Ural, Russian Premier League 22-23)","Saleh Al-Qumayzi (31, Al Faisaly, Saudi First Division 22-23)",77.45133835619454
"D. Kulakov (37, Ural, Russian Premier League 22-23)","Hazzaa Ali Al Asiri (0, Jeddah, Saudi First Division 22-23)",15.085134152069232
"D. Kulakov (37, Ural, Russian Premier League 22-23)","Saeed Baetaih (0, Jeddah, Saudi First Division 22-23)",25.315334726895383
"D. Kulakov (37, Ural, Russian Premier League 22-23)","Abdulrahman Al-Enezi (0, Al Orubah, Saudi First Division 22-23)",25.925398818428658
"D. Kulakov (37, Ural, Russian Premier League 22-23)","R. Al Otaibi (22, Al Hazem, Saudi First Division 22-23)",33.23471803528475
