Player 1,Player 2,Similarity
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","D. Rybchinskiy (24, Nizhny Novgorod, Russian Premier League 22-23)",56.26118875074372
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","B. Mansilla (26, Orenburg, Russian Premier League 22-23)",76.2071790565121
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","B. Berisha (31, Akhmat Grozny, Russian Premier League 22-23)",73.78682948906335
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","J. Marín (25, Orenburg, Russian Premier League 22-23)",51.22945869115847
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","L. Sadulaev (23, Akhmat Grozny, Russian Premier League 22-23)",60.60851250569491
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","R. Tugarev (24, Rostov, Russian Premier League 22-23)",58.958657357616616
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","V. Sarveli (25, Sochi, Russian Premier League 22-23)",55.73115783021218
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","A. Zinkovskiy (27, Spartak Moskva, Russian Premier League 22-23)",54.395752807638296
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","R. Mirzov (29, Khimki, Russian Premier League 22-23)",48.39549513986334
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","S. Pinyaev (18, Lokomotiv Moskva, Russian Premier League 22-23)",62.20808419664707
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","A. Yushin (28, Ural, Russian Premier League 22-23)",53.55398185123773
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","K. Erkinov (22, Torpedo Moskva, Russian Premier League 22-23)",42.00761991335039
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","L. Ranđelović (25, Ural, Russian Premier League 22-23)",50.342751036885446
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","N. Ngamaleu (28, Dinamo Moskva, Russian Premier League 22-23)",55.67759930391074
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","N. Burmistrov (33, Sochi, Russian Premier League 22-23)",66.75213783059569
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","I. Akhmetov (25, Krasnodar, Russian Premier League 22-23)",45.1328077781449
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","V. Grulev (24, Dinamo Moskva, Russian Premier League 22-23)",75.26408128194781
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","G. Kerk (27, Lokomotiv Moskva, Russian Premier League 22-23)",79.94912571911512
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","Y. Gladyshev (20, Dinamo Moskva, Russian Premier League 22-23)",50.94157683235433
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","V. Karapuzov (23, Akhmat Grozny, Russian Premier League 22-23)",60.00686282581997
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","B. Garré (22, Krylya Sovetov, Russian Premier League 22-23)",41.82646026423536
"D. Makarov (25, Dinamo Moskva, Russian Premier League 22-23)","Joãozinho (34, Sochi, Russian Premier League 22-23)",35.841604117063575
