Player,Similarity
"K. Nowak (28, Odra Opole, Polish I Liga 22-23)",81.12849674517338
"G. Beridze (26, Ankaragücü, Süper Lig 22-23)",80.6747807680235
"Y. Dhaflaoui (20, Hillerød, Danish 1. Division 22-23)",78.40391132110184
"C. Talbi (18, Club Brugge II, Belgian First Division B 22-23)",78.34004989907768
"S. Lobjanidze (28, Fatih Karagümrük, Süper Lig 22-23)",78.1730581919368
"Heung-Min Son (30, Tottenham Hotspur, Premier League 22-23)",78.06354902721459
"L. Lamprou (25, Excelsior, Eredivisie 22-23)",77.42222696661594
"S. Diarra (24, Lorient, Ligue 1 22-23)",77.24902008606685
"Z. Vancsa (18, Lommel SK, Belgian First Division B 22-23)",77.17153405713772
"A. Touré (23, Macarthur, A-League Men 22-23)",77.07960958056779
"B. Teixeira (22, Sturm Graz, Austrian Bundesliga 22-23)",76.5374821296195
"J. Khasa (25, AEL, Cyprus 1. Division 22-23)",76.22637265882135
"R. Lenis (30, Al Adalah, Saudi Professional League 22-23)",76.1062514059282
"Won-Sang Um (24, Ulsan Hyundai, K League 1 2023)",76.06700859294297
"Z. Davitashvili (22, Bordeaux, Ligue 2 22-23)",75.73354635398377
"K. John (19, Genk II, Belgian First Division B 22-23)",75.66251206089312
"K. Csoboth (22, Újpest, NB I 22-23)",75.49774473165809
"D. Lukébakio (25, Hertha BSC, Bundesliga 22-23)",75.34561822046061
"D. Rossi (25, Fenerbahçe, Süper Lig 22-23)",75.15948707594143
"L. Barry (19, Salford City, League Two 22-23)",75.13087314263059
"E. Kulašin (19, Borac Banja Luka, Bosnian Premier League 22-23)",75.0243680818971
"W. Odobert (18, Troyes, Ligue 1 22-23)",74.95753240754189
"A. Ortíz (21, Guastatoya, Guatemala Liga Nacional 22-23)",74.95183274980212
"D. Lutumba-Pitah (24, Hegelmann Litauen, Lithuanian A Lyga 2023)",74.93323520008526
"D. Tanturovski (30, Sileks, North Macedonia First League 22-23)",74.67804262710641
