Player 1,Player 2,Similarity
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","O. Bozorov (25, Nasaf, Uzbek Super League 2023)",32.36063397895594
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","B. Toshmirzaev (25, Turan, Uzbek Super League 2023)",34.03136840385517
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","Bùi Văn Đức (26, Hồng Lĩnh Hà Tĩnh, V League 1 2023)",28.86272492345513
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","D. Green (25, Hồ Chí Minh City, V League 1 2023)",38.89775185560157
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","Bùi Vĩ Hào (20, Binh Duong, V League 1 2023)",3.217176718765165
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","T. Keskinen (20, HJK, Veikkausliiga 2023)",60.40362078310972
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","S. Haarala (23, Ilves, Veikkausliiga 2023)",58.19690153607551
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","E. Arko-Mensah (21, Honka, Veikkausliiga 2023)",67.8892394899593
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","L. Rogerson (25, Haka, Veikkausliiga 2023)",48.08274388574606
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","J. Tuominen (27, KuPS, Veikkausliiga 2023)",46.47265893585407
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","A. Ogunniyi (21, FK Auda, Virsliga 2023)",53.69788440877565
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","D. Rakels (30, SK Super Nova Salaspils, Virsliga 2023)",52.74851051224025
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","M. Correa (21, FK Metta, Virsliga 2023)",18.012508028196425
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","G. Mankenda (25, FK Liepāja, Virsliga 2023)",50.94818173356008
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","R. Meļķis (20, FK Tukums 2000/Telms, Virsliga 2023)",-5.34018289851683
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","Emerson Deocleciano (23, RFS, Virsliga 2023)",59.66168918508823
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","F. Steponavičius (19, FK Tukums 2000/Telms, Virsliga 2023)",37.528075093408766
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","R. Ķiršs (23, FK Tukums 2000/Telms, Virsliga 2023)",-25.409794567100143
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","R. Nasirli (20, BFC Daugavpils, Virsliga 2023)",58.64725253673848
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","M. Diop (20, Valmiera FC, Virsliga 2023)",12.527616763440053
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","O. Rubenis (24, FS Jelgava, Virsliga 2023)",45.818898421641975
"J. Khasanov (39, Sogdiana, Uzbek Super League 2023)","O. Niang (21, Riga FC, Virsliga 2023)",61.74087860930393
