Player,Similarity
"O. Zinchenko (26, Arsenal, Premier League 22-23)",78.32819406655524
"R. Ljubičić (23, Dinamo Zagreb, 1. HNL 22-23)",77.73944373994911
"K. Walker (33, Manchester City, Premier League 22-23)",77.61454540012194
"D. Blind (32, Ajax, Eredivisie 22-23)",77.54275931047587
"V. Larsson (23, Värnamo, Allsvenskan 2023)",77.40070777481101
"M. Simakan (23, RB Leipzig, Bundesliga 22-23)",76.66014432006224
"B. White (25, Arsenal, Premier League 22-23)",75.64615261298012
"B. Angulo (33, Toluca, Liga MX 22-23)",74.58601507778245
"M. Persson (22, Brage, Superettan 2023)",74.25021158290991
"T. Turi (27, Kozármisleny, NB II 22-23)",74.19810428619543
"G. Kotsiras (30, Panathinaikos, Greek Super League 22-23)",73.93958580494441
"C. Roberts (27, Burnley, Championship 22-23)",73.30271169485789
"Javi Hernández (25, Girona, La Liga 22-23)",73.05511701339478
"A. Aliev (28, Neftchi, Premyer Liqa 22-23)",73.02745819377459
"F. Espinoza (23, Magallanes, Chilean Primera División 2023)",72.95071382029879
"S. Bokros (23, Diósgyőr, NB II 22-23)",72.94601490477028
"M. Milec (31, Maribor, 1. SNL 22-23)",72.49355959666248
"Y. Regeer (19, Ajax II, Eerste Divisie 22-23)",72.46538124085204
"D. Muñoz (27, Genk, Belgian Pro League 22-23)",72.15872986565836
"M. Olivera (25, Napoli, Serie A 22-23)",71.71018011677221
"J. Teze (23, PSV, Eredivisie 22-23)",71.458324122732
"J. Hato (17, Ajax II, Eerste Divisie 22-23)",71.3763354844388
"G. Cohen (22, Ashdod, Ligat Ha'al 22-23)",71.36833094127171
"J. Koundé (24, Barcelona, La Liga 22-23)",70.90372397243264
"K. Diks (26, København, Superliga 22-23)",70.81272884178249
