Player 1,Player 2,Similarity
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","B. Henrichs (26, RB Leipzig, Bundesliga 22-23)",24.383374574282
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","R. Gumny (24, Augsburg, Bundesliga 22-23)",20.04661686133564
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","Paulo Otávio (28, Wolfsburg, Bundesliga 22-23)",31.153576484369022
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","A. Davies (22, Bayern München, Bundesliga 22-23)",12.373828058431464
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","B. Sosa (25, Stuttgart, Bundesliga 22-23)",8.640401222299875
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","K. Sildillia (21, Freiburg, Bundesliga 22-23)",17.480710782722515
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","H. Matriciani (23, Schalke 04, Bundesliga 22-23)",38.0479817128596
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Pedersen (26, Augsburg, Bundesliga 22-23)",23.36086480775637
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","Danilo Soares (31, Bochum, Bundesliga 22-23)",26.52836259331508
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","D. Raum (25, RB Leipzig, Bundesliga 22-23)",18.09398069045193
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","L. Kübler (30, Freiburg, Bundesliga 22-23)",50.34483243331036
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","Iago (26, Augsburg, Bundesliga 22-23)",35.38084210874164
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Wolf (28, Borussia Dortmund, Bundesliga 22-23)",15.844163763319656
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Halstenberg (31, RB Leipzig, Bundesliga 22-23)",38.83793181673212
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Simakan (23, RB Leipzig, Bundesliga 22-23)",21.7086570343443
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","C. Gamboa (33, Bochum, Bundesliga 22-23)",37.58392690446071
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","S. Janko (27, Bochum, Bundesliga 22-23)",27.79289115314824
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","K. Schindler (29, Köln, Bundesliga 22-23)",12.028269888616416
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","N. Mazraoui (25, Bayern München, Bundesliga 22-23)",20.944770810826448
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","K. Stafylidis (29, Bochum, Bundesliga 22-23)",-11.031873075120036
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","João Cancelo (29, Bayern München, Bundesliga 22-23)",11.004995997960222
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","T. Ouwejan (26, Schalke 04, Bundesliga 22-23)",9.409642212128078
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Mittelstädt (26, Hertha BSC, Bundesliga 22-23)",4.306477536468412
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","T. Mohr (27, Schalke 04, Bundesliga 22-23)",17.413381031480455
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","R. Giles (23, Middlesbrough, Championship 22-23)",31.80773262839748
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. McClean (34, Wigan Athletic, Championship 22-23)",17.65652940117029
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","C. Townsend (30, West Bromwich Albion, Championship 22-23)",37.99979839602018
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Aarons (23, Norwich City, Championship 22-23)",28.923818625801683
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Colin (31, Birmingham City, Championship 22-23)",50.79903342199311
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Bidwell (30, Coventry City, Championship 22-23)",12.781368858868422
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","R. Manning (26, Swansea City, Championship 22-23)",5.189087709325623
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Greaves (22, Hull City, Championship 22-23)",23.981951565208824
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","D. McNamara (24, Millwall, Championship 22-23)",41.56078566780039
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","C. Roberts (27, Burnley, Championship 22-23)",18.506658010772316
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","K. Paal (25, Queens Park Rangers, Championship 22-23)",45.73432891295329
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","C. Connolly (25, Blackpool, Championship 22-23)",8.532879212707353
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","H. Pickering (24, Blackburn Rovers, Championship 22-23)",54.95601984464764
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","D. Furlong (27, West Bromwich Albion, Championship 22-23)",30.58221416934497
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","I. Maatsen (21, Burnley, Championship 22-23)",14.565792513597664
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Wallace (30, Millwall, Championship 22-23)",0.6317178591710919
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","B. Potts (28, Preston North End, Championship 22-23)",27.68646520132336
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","K. Sema (29, Watford, Championship 22-23)",14.131625245834014
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","C. O'Dowda (28, Cardiff City, Championship 22-23)",13.357981645506444
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","T. Smith (31, Middlesbrough, Championship 22-23)",14.907713429030483
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","G. Baldock (30, Sheffield United, Championship 22-23)",10.571937781124351
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","B. Norton-Cuffy (19, Coventry City, Championship 22-23)",23.561741171978262
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","T. Darikwa (31, Wigan Athletic, Championship 22-23)",68.14584582540934
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","C. Pring (25, Bristol City, Championship 22-23)",0.337776046568297
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","Álvaro Fernández (20, Preston North End, Championship 22-23)",36.32999801254544
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","H. Kamara (29, Watford, Championship 22-23)",16.453180989104414
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","Jay Dasilva (25, Bristol City, Championship 22-23)",25.66519504512395
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","C. Bramall (27, Rotherham United, Championship 22-23)",7.742471060655746
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Latibeaudiere (23, Swansea City, Championship 22-23)",-7.432652463717695
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Ruffels (29, Huddersfield Town, Championship 22-23)",54.9538875649703
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","L. Gooch (27, Sunderland, Championship 22-23)",37.57784106804654
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Romeo (27, Cardiff City, Championship 22-23)",24.666882555558296
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","E. Laird (21, Queens Park Rangers, Championship 22-23)",27.55791096306054
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Eccles (23, Coventry City, Championship 22-23)",15.555637597930405
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Hoilett (32, Reading, Championship 22-23)",14.504551808490614
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","L. Coyle (27, Hull City, Championship 22-23)",44.21606724542546
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","M. Sykes (25, Bristol City, Championship 22-23)",26.50935410833442
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Bree (25, Luton Town, Championship 22-23)",3.436915476591766
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","A. Doughty (23, Luton Town, Championship 22-23)",-4.069864092127057
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","T. Hume (21, Sunderland, Championship 22-23)",7.061244786268779
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","R. Nyambe (25, Wigan Athletic, Championship 22-23)",29.492816783190637
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","J. Husband (29, Blackpool, Championship 22-23)",34.18430327168904
"J. Scally (20, Borussia M'gladbach, Bundesliga 22-23)","Vitinho (23, Burnley, Championship 22-23)",33.296143389544326
