Player 1,Player 2,Similarity
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","C. Groß (34, Werder Bremen, Bundesliga 22-23)",29.69171603760134
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","L. Goretzka (28, Bayern München, Bundesliga 22-23)",26.033431024012582
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","I. Gruev (23, Werder Bremen, Bundesliga 22-23)",61.39978162724348
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","S. Özcan (25, Borussia Dortmund, Bundesliga 22-23)",57.59026447654095
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","P. Osterhage (23, Bochum, Bundesliga 22-23)",31.785577457045783
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","I. Šunjić (26, Hertha BSC, Bundesliga 22-23)",55.19703070548315
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","C. Gruezo (27, Augsburg, Bundesliga 22-23)",29.734251477541434
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","D. Latza (33, Schalke 04, Bundesliga 22-23)",24.936069812321264
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","S. Field (25, Queens Park Rangers, Championship 22-23)",47.49724427320934
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","R. Wintle (25, Cardiff City, Championship 22-23)",33.945095859840066
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Cullen (27, Burnley, Championship 22-23)",50.55524995220263
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Howson (35, Middlesbrough, Championship 22-23)",32.8616701798986
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","O. Norwood (32, Sheffield United, Championship 22-23)",-9.691972731821537
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","L. Travis (25, Blackburn Rovers, Championship 22-23)",62.52898488961114
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","K. McLean (31, Norwich City, Championship 22-23)",20.54353087743
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","G. Saville (29, Millwall, Championship 22-23)",7.80234521491068
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","H. Choudhury (25, Watford, Championship 22-23)",72.29351887562245
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","B. Mitchell (22, Millwall, Championship 22-23)",38.31870900855711
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","B. Whiteman (26, Preston North End, Championship 22-23)",22.885918332762238
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","M. James (31, Bristol City, Championship 22-23)",18.41961836632371
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","H. Hackney (20, Middlesbrough, Championship 22-23)",43.66883470822381
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","D. Barlaser (26, Middlesbrough, Championship 22-23)",2.563241323721481
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Molumby (23, West Bromwich Albion, Championship 22-23)",60.45360569500337
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","K. Bielik (25, Birmingham City, Championship 22-23)",40.18438449776752
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","O. Yokuşlu (29, West Bromwich Albion, Championship 22-23)",49.62197890577253
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","Gabriel Sara (23, Norwich City, Championship 22-23)",-19.138951005801115
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Laurent (28, Stoke City, Championship 22-23)",-14.67806890073778
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","K. Dougall (30, Blackpool, Championship 22-23)",5.55308469680952
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Cork (33, Burnley, Championship 22-23)",65.418985604698
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","T. Naylor (31, Wigan Athletic, Championship 22-23)",38.96892931241151
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","M. Loum (26, Reading, Championship 22-23)",43.38007447930401
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Thompson (26, Stoke City, Championship 22-23)",23.20195210190993
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","E. Kayembe (24, Watford, Championship 22-23)",48.75419482964064
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","L. Gibbs (20, Norwich City, Championship 22-23)",34.82342465335804
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","M. Nakamba (29, Luton Town, Championship 22-23)",31.269619343490167
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Shackleton (23, Millwall, Championship 22-23)",14.123166238059284
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Buckley (23, Blackburn Rovers, Championship 22-23)",35.56427578819379
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","C. Coventry (23, Rotherham United, Championship 22-23)",1.4488019107893977
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","T. Gardner-Hickman (21, West Bromwich Albion, Championship 22-23)",5.5321146087332025
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","E. Michut (20, Sunderland, Championship 22-23)",44.18068814613868
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","B. Pearson (28, Stoke City, Championship 22-23)",38.585943591616704
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. James (18, Birmingham City, Championship 22-23)",-0.951058527817406
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","A. Wharton (18, Blackburn Rovers, Championship 22-23)",18.25528711264932
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","R. Leonard (31, Millwall, Championship 22-23)",30.66022818136601
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","L. Fiorini (20, Blackpool, Championship 22-23)",-15.222933962989377
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","A. Camargo (33, Cobresal, Chilean Primera División 2023)",70.49004857757652
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","E. Pavez (33, Colo Colo, Chilean Primera División 2023)",36.030409235822624
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","T. Aránguiz (26, Magallanes, Chilean Primera División 2023)",24.72404461157883
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Jaime (30, Copiapó, Chilean Primera División 2023)",23.45542777499451
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","I. Saavedra (24, Universidad Católica, Chilean Primera División 2023)",44.74773063142847
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","A. Farías (35, Palestino, Chilean Primera División 2023)",21.56045820649863
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Martínez (26, Huachipato, Chilean Primera División 2023)",33.36358497965236
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","C. Sepúlveda (30, Huachipato, Chilean Primera División 2023)",46.64967386138621
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","M. Díaz (36, Audax Italiano, Chilean Primera División 2023)",61.78221766449845
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","A. Nadruz (26, Curicó Unido, Chilean Primera División 2023)",10.935330304546822
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","S. Leyton (30, Unión Española, Chilean Primera División 2023)",17.610753949093
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","V. Larralde (22, O'Higgins, Chilean Primera División 2023)",22.819901737123512
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","E. Ojeda (25, Universidad de Chile, Chilean Primera División 2023)",23.25538135415666
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","L. Reyes (31, Ñublense, Chilean Primera División 2023)",61.92593771136916
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","Cai Huikang (33, Shanghai Port, Chinese Super League 2023)",22.659094241264103
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","F. Lozano (29, Boyacá Chicó, Colombian Primera Division 22-23)",48.29130523864002
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Guevara (31, Jaguares de Córdoba, Colombian Primera Division 22-23)",58.71213749580227
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","D. Torres (33, Medellín, Colombian Primera Division 22-23)",45.82123364413727
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","A. Mejía (34, Unión Magdalena, Colombian Primera Division 22-23)",52.34479972542295
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","K. Castaño (22, Águilas Doradas, Colombian Primera Division 22-23)",18.64802771924286
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","I. Rojas (25, Santa Fe, Colombian Primera Division 22-23)",49.76097299987617
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Roa (28, Deportivo Pasto, Colombian Primera Division 22-23)",43.25080456959587
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","L. Pérez (26, Once Caldas, Colombian Primera Division 22-23)",61.6127185221684
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","R. Manjarrés (23, Alianza Petrolera, Colombian Primera Division 22-23)",43.44664305098288
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Zapata (23, Envigado, Colombian Primera Division 22-23)",1.61863415035337
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","D. Moreno (31, Junior, Colombian Primera Division 22-23)",40.28450548867585
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","F. Flórez (30, Alianza Petrolera, Colombian Primera Division 22-23)",68.87740768501004
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","N. Palacio (21, Atlético Nacional, Colombian Primera Division 22-23)",46.16853560786103
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","D. Giraldo (30, Millonarios, Colombian Primera Division 22-23)",59.71071529658282
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","E. Moreno (29, La Equidad, Colombian Primera Division 22-23)",-0.4059710667432808
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Caicedo (19, Deportivo Pasto, Colombian Primera Division 22-23)",24.40103291190286
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","V. Mejía (30, Atlético Bucaramanga, Colombian Primera Division 22-23)",54.079968334499775
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","F. Jaramillo (27, Envigado, Colombian Primera Division 22-23)",9.812455414191351
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Ríos (31, Tolima, Colombian Primera Division 22-23)",37.55069477643448
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","Y. Velásquez (23, Deportivo Pereira, Colombian Primera Division 22-23)",18.20478178728625
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","Y. Torres (24, Atlético Huila, Colombian Primera Division 22-23)",51.64738354079124
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","M. Medina (25, Deportivo Pereira, Colombian Primera Division 22-23)",50.70537941789922
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","L. Vásquez (30, Millonarios, Colombian Primera Division 22-23)",59.62637803543125
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","F. Castro (31, Deportivo Cali, Colombian Primera Division 22-23)",55.07907270824117
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","R. Bustamante (23, Deportivo Cali, Colombian Primera Division 22-23)",44.80173143547028
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","D. Padilla (29, Jaguares de Córdoba, Colombian Primera Division 22-23)",51.64676532563925
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","S. Vega (25, Millonarios, Colombian Primera Division 22-23)",61.68231270316184
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","J. Pereira (30, Millonarios, Colombian Primera Division 22-23)",42.35717654367696
"J. Weigl (27, Borussia M'gladbach, Bundesliga 22-23)","H. Martínez (25, Junior, Colombian Primera Division 22-23)",44.11913697781444
