Player 1,Player 2,Similarity
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Maher Hawsawi (30, Al Orubah, Saudi First Division 22-23)",34.88597253631268
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","M. Al-Mutairi (0, Ohod, Saudi First Division 22-23)",-3.466595528302642
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Ahmed Haresai (0, Al Qaisoma, Saudi First Division 22-23)",61.06657492309056
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Al. Baazeem (31, Jeddah, Saudi First Division 22-23)",56.51535242385675
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Willy Semedo (29, Al Faisaly, Saudi First Division 22-23)",66.6624670716779
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Ziyad Al Johani (21, Al Ahli, Saudi First Division 22-23)",56.42896019885077
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","M. Al Attar (0, Al Ain, Saudi First Division 22-23)",41.591687783156175
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","A. Djabout (30, Ohod, Saudi First Division 22-23)",-2.488707111808321
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Fahed Attalib (0, Al Orubah, Saudi First Division 22-23)",2.292739705379612
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Ghallab Al Enezi (0, Al Shoalah, Saudi First Division 22-23)",26.768171268257685
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Abdulrahman Al-Harthi (24, Al Ain, Saudi First Division 22-23)",28.478574610053897
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Mohamed Mali (0, Al Jabalain, Saudi First Division 22-23)",39.079532673047154
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Thaar Al-Otaibi (23, Al Hazem, Saudi First Division 22-23)",42.78387160761703
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Mohammed Al Shahrani (27, Al Kholood, Saudi First Division 22-23)",-2.3039285721233123
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Hamad Al Quazani (23, Hajer, Saudi First Division 22-23)",47.64808331201738
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Abdullah Khatab (28, Al Qaisoma, Saudi First Division 22-23)",42.05680988602164
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Abdulaziz  Ali (0, Al Akhdoud, Saudi First Division 22-23)",75.57709218476766
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Paulinho (26, Al Feiha, Saudi Professional League 22-23)",33.01867494064268
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Saleh Jaman (29, Abha, Saudi Professional League 22-23)",74.43083074766223
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","M. Fouzair (31, Al Raed, Saudi Professional League 22-23)",71.19823570181681
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","A. Sayoud (32, Al Ta'ee, Saudi Professional League 22-23)",65.343794024089
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","M. Batna (32, Al Fateh, Saudi Professional League 22-23)",77.92781025388501
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Yousef Al Shammari (25, Al Batin, Saudi Professional League 22-23)",-18.56061502693354
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","A. Mitriță (28, Al Raed, Saudi Professional League 22-23)",55.34461206523977
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","R. Lenis (30, Al Adalah, Saudi Professional League 22-23)",67.43261800305748
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Mansor Hamzi (31, Dhamk, Saudi Professional League 22-23)",10.38055953460158
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Fahad Al Rashidi (26, Al Taawon, Saudi Professional League 22-23)",60.65336012853627
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Sultan Mandash (28, Al Feiha, Saudi Professional League 22-23)",74.39514382917038
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","A. Ghareeb (26, Al Nassr, Saudi Professional League 22-23)",76.36173198414922
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","K. Yoda (34, Al Wahda, Saudi Professional League 22-23)",60.67497756778417
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Mohammed Al Kuwaykibi (28, Al Ettifaq, Saudi Professional League 22-23)",55.82940736039006
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Carlos Júnior (27, Al Shabab, Saudi Professional League 22-23)",52.17435209013546
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Michael (27, Al Hilal, Saudi Professional League 22-23)",73.1149968450819
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Nawaf Al Sadi (21, Abha, Saudi Professional League 22-23)",68.26609412151214
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Morato (30, Al Khaleej, Saudi Professional League 22-23)",66.87543868834335
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","E. Soudani (35, Dhamk, Saudi Professional League 22-23)",36.59334417935391
"M. Barrow (30, Al Ahli, Saudi First Division 22-23)","Fábio Martins (29, Al Khaleej, Saudi Professional League 22-23)",51.98072860706213
