Player 1,Player 2,Similarity
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","F. Hadergjonaj (28, Kasımpaşa, Süper Lig 22-23)",44.85797062689827
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","G. Sazdağı (28, Kayserispor, Süper Lig 22-23)",5.263659014541562
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","L. Carole (31, Kayserispor, Süper Lig 22-23)",30.928665183857447
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Ö. Şahiner (31, İstanbul Başakşehir, Süper Lig 22-23)",27.88213895049625
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","J. Balkovec (28, Alanyaspor, Süper Lig 22-23)",-4.092868508104589
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","S. Adekugbe (28, Galatasaray, Süper Lig 22-23)",29.20123891478149
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","S. Göksu (30, Ümranıyespor, Süper Lig 22-23)",6.653308073046049
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","U. Çiftçi (31, Sivasspor, Süper Lig 22-23)",59.9671406347518
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","S. Popov (32, Ümranıyespor, Süper Lig 22-23)",49.08366234426839
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Y. Özdemir (22, Alanyaspor, Süper Lig 22-23)",54.10861676672085
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","K. Malcuit (31, Ankaragücü, Süper Lig 22-23)",52.745311153060015
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Pedro Pereira (25, Alanyaspor, Süper Lig 22-23)",62.05394353921827
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Candeias (35, Alanyaspor, Süper Lig 22-23)",29.24609300082735
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","D. Duhaney (24, İstanbulspor, Süper Lig 22-23)",23.54702643042721
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","M. Paluli (28, Sivasspor, Süper Lig 22-23)",69.01471615070759
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","O. Atasayar (28, Ümranıyespor, Süper Lig 22-23)",72.19726367559053
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","A. Yaşar (28, İstanbulspor, Süper Lig 22-23)",55.10283483980803
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","C. Erkin (34, İstanbul Başakşehir, Süper Lig 22-23)",3.364752159260958
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Lincoln (24, Fenerbahçe, Süper Lig 22-23)",7.828486170500551
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","B. Osayi-Samuel (25, Fenerbahçe, Süper Lig 22-23)",26.654210558609392
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Y. Özcan (17, Kasımpaşa, Süper Lig 22-23)",5.902245669060004
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","E. Lenjani (33, Ümranıyespor, Süper Lig 22-23)",18.59866781864133
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","T. Bingöl (30, Beşiktaş, Süper Lig 22-23)",-14.437685758121209
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","R. Yalçın (29, Sivasspor, Süper Lig 22-23)",-14.145582116750347
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","O. Berber (31, İstanbulspor, Süper Lig 22-23)",56.57768061473205
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Z. Ferhat (30, Alanyaspor, Süper Lig 22-23)",19.55239651827537
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Z. Erdal (35, Sivasspor, Süper Lig 22-23)",23.61757780052633
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","L. Dubois (28, Galatasaray, Süper Lig 22-23)",28.78507340121453
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Marlon (26, Ankaragücü, Süper Lig 22-23)",61.98977805011582
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","S. Dursun (31, Fatih Karagümrük, Süper Lig 22-23)",16.958040980333966
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","A. Uzodimma (24, Kayserispor, Süper Lig 22-23)",51.91739165176712
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","E. Alioski (31, Fenerbahçe, Süper Lig 22-23)",23.719517222378432
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","H. Kaldırım (33, Ankaragücü, Süper Lig 22-23)",52.08226776241924
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Y. Güreler (31, Ankaragücü, Süper Lig 22-23)",45.52298942502623
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","T. Bunmathan (33, Buriram United, Thai League 1 22-23)",-15.866688154435854
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","J. Sattham (23, Nakhon Ratchasima, Thai League 1 22-23)",49.53406681642979
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","W. Homsan (31, Nakhon Ratchasima, Thai League 1 22-23)",31.70210424818753
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","S. Bureerat (29, Port FC, Thai League 1 22-23)",29.60346027123848
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","K. Chiamudom (28, Ratchaburi, Thai League 1 22-23)",19.12858258715329
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","S. Srikampang (34, Sukhothai, Thai League 1 22-23)",6.452310307427806
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","M. Promsawat (27, Chiangrai United, Thai League 1 22-23)",36.29065956671311
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","E. Samre (34, Police Tero, Thai League 1 22-23)",15.207094560513085
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","P. Lajungreed (31, Sukhothai, Thai League 1 22-23)",8.422218306119058
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","N. Weerawatnodom (28, Buriram United, Thai League 1 22-23)",43.550070442763655
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","S. Nontasila (27, Police Tero, Thai League 1 22-23)",44.96819777322181
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","P. Notchaiya (30, Bangkok United, Thai League 1 22-23)",40.13636559794861
"M. Hanousek (30, Ankaragücü, Süper Lig 22-23)","Alef (29, Khon Kaen United, Thai League 1 22-23)",25.761468343680196
