Player 1,Player 2,Similarity
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","S. Atvati (23, Métlaoui, Tunisian Ligue 1 22-23)",5.783927776444699
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","A. Tlili (28, Stade Tunisien, Tunisian Ligue 1 22-23)",59.28308461432265
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Y. Mechergui (23, CA Bizertin, Tunisian Ligue 1 22-23)",19.78545611052393
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","S. Harrabi (24, Monastir, Tunisian Ligue 1 22-23)",23.790496813352583
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","W. Sahli (35, Chebba, Tunisian Ligue 1 22-23)",12.409391550356665
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","C. Şen (22, Bodrumspor, Turkish 1. Lig 22-23)",16.954341268329525
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Ü. Ergün (30, Bodrumspor, Turkish 1. Lig 22-23)",20.61716666071912
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","O. Ovacıklı (34, BB Erzurumspor, Turkish 1. Lig 22-23)",41.12755567611617
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","A. Dere (30, Altınordu, Turkish 1. Lig 22-23)",51.82975268741912
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","S. Sarıkaya (25, Altay, Turkish 1. Lig 22-23)",17.220077090421725
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","H. Bilgiç (30, Boluspor, Turkish 1. Lig 22-23)",41.46996352581317
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","G. Süzen (35, Denizlispor, Turkish 1. Lig 22-23)",-11.374212639403211
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Ö. Bayram (31, Eyüpspor, Turkish 1. Lig 22-23)",20.05792484189296
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Cinan (25, Keçiörengücü, Turkish 1. Lig 22-23)",38.74781548627757
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Kaplan (22, Bandırmaspor, Turkish 1. Lig 22-23)",58.93215378171091
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","İ. Köybaşı (33, Göztepe, Turkish 1. Lig 22-23)",13.172005743228532
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Şahin (22, Manisa BBSK, Turkish 1. Lig 22-23)",51.35029068913062
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","B. Cevahir (31, Boluspor, Turkish 1. Lig 22-23)",36.759867646332616
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","O. Bayrak (24, Tuzlaspor, Turkish 1. Lig 22-23)",24.126947653534508
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Naderi (26, Altay, Turkish 1. Lig 22-23)",4.914045413317339
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","G. Kaya (27, Pendikspor, Turkish 1. Lig 22-23)",31.894941264127503
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","F. Öztorun (36, Pendikspor, Turkish 1. Lig 22-23)",42.46623747661467
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Uçar (31, Eyüpspor, Turkish 1. Lig 22-23)",51.36410223887344
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Pala (22, Rizespor, Turkish 1. Lig 22-23)",38.99707644788339
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","O. Yıldırım (28, Sakaryaspor, Turkish 1. Lig 22-23)",18.160692048028128
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","A. Şengül (24, Bandırmaspor, Turkish 1. Lig 22-23)",31.41202712321688
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Sağlık (25, Denizlispor, Turkish 1. Lig 22-23)",27.39752422515259
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","S. Gönül (25, Samsunspor, Turkish 1. Lig 22-23)",14.199455685177586
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","A. Koç (26, Rizespor, Turkish 1. Lig 22-23)",26.255783319969566
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Özgenc (38, Pendikspor, Turkish 1. Lig 22-23)",25.768866628964
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","C. Cavlan (31, Bandırmaspor, Turkish 1. Lig 22-23)",49.06764836086059
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","C. Alkılıç (35, Eyüpspor, Turkish 1. Lig 22-23)",45.82049762286473
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","C. Bayrak (23, BB Erzurumspor, Turkish 1. Lig 22-23)",22.44869597047568
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Kartal (30, Keçiörengücü, Turkish 1. Lig 22-23)",31.143148698721816
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","T. Çamdal (32, Göztepe, Turkish 1. Lig 22-23)",22.154325584097545
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","L. Schwechlen (33, Denizlispor, Turkish 1. Lig 22-23)",22.992269334697564
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Ç. Giritlioğlu (26, Manisa BBSK, Turkish 1. Lig 22-23)",55.19608054156768
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","H. Erdoğan (29, Sakaryaspor, Turkish 1. Lig 22-23)",5.689606078426674
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Coskun (24, Tuzlaspor, Turkish 1. Lig 22-23)",9.904407548906734
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","A. Koldaş (25, Bandırmaspor, Turkish 1. Lig 22-23)",-5.198983110646632
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Bayir (34, Tuzlaspor, Turkish 1. Lig 22-23)",33.2985128805839
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Mert (24, Gençlerbirliği, Turkish 1. Lig 22-23)",29.633896519965948
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","K. Harris (29, Samsunspor, Turkish 1. Lig 22-23)",0.3724431969871617
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","C. Hanalp (27, BB Erzurumspor, Turkish 1. Lig 22-23)",-5.851246484885043
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","T. Gür (26, Yeni Malatyaspor, Turkish 1. Lig 22-23)",-6.689579368755058
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","R. Koçak (34, Altınordu, Turkish 1. Lig 22-23)",-0.2490027917410874
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","B. Gündem (20, Denizlispor, Turkish 1. Lig 22-23)",15.605156101596217
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Keskin (21, Bandırmaspor, Turkish 1. Lig 22-23)",1.4274942538132265
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","F. Katipoğlu (23, Adanaspor, Turkish 1. Lig 22-23)",51.73297804937612
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Y. Güreler (31, Gençlerbirliği, Turkish 1. Lig 22-23)",31.084767130205936
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","K. Kanak (32, Manisa BBSK, Turkish 1. Lig 22-23)",15.582819966848616
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","H. Tut (32, Sakaryaspor, Turkish 1. Lig 22-23)",-13.097612555495733
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Gedik (23, Göztepe, Turkish 1. Lig 22-23)",11.353869661406602
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","U. Akdemir (34, Gençlerbirliği, Turkish 1. Lig 22-23)",32.18424176918545
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","A. Ülgen (23, Samsunspor, Turkish 1. Lig 22-23)",2.260815326897481
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","M. Albayrak (31, Samsunspor, Turkish 1. Lig 22-23)",43.33554130363643
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","K. Alıcı (25, Altınordu, Turkish 1. Lig 22-23)",21.471404588939965
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","B. Uzun (32, Sakaryaspor, Turkish 1. Lig 22-23)",26.825420276487776
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Altıntaş (27, Rizespor, Turkish 1. Lig 22-23)",-17.474368547033237
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","O. Alkan (30, Bandırmaspor, Turkish 1. Lig 22-23)",19.28104842862101
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Eyibil (21, Gençlerbirliği, Turkish 1. Lig 22-23)",-49.00008070152549
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","E. Kara (28, Pendikspor, Turkish 1. Lig 22-23)",42.161517721828965
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","B. Emir (35, Eyüpspor, Turkish 1. Lig 22-23)",-0.0208398745900058
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Erik (22, Al Ain, UAE Pro League 22-23)",33.90177369131911
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Ahmed Jamil (24, Shabab Al Ahli Dubai, UAE Pro League 22-23)",43.77807427176989
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Khalid Al Zaabi (31, Al Dhafra, UAE Pro League 22-23)",31.266645872530475
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","P. Pavlov (22, Al Dhafra, UAE Pro League 22-23)",-2.446703736862305
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Bandar Al Ahbabi (32, Al Ain, UAE Pro League 22-23)",14.49965985012719
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Abdulla Al Baloosh (22, Al Bataeh, UAE Pro League 22-23)",39.19702135840402
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Ibrahim Saeed (31, Dibba Al Fujairah, UAE Pro League 22-23)",2.9332983028851225
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Rúben Canedo (21, Al Wahda, UAE Pro League 22-23)",41.00042831430172
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Khamis Al Hammadi (24, Bani Yas, UAE Pro League 22-23)",-6.985530826634231
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Marcus Meloni (22, Al Sharjah, UAE Pro League 22-23)",44.07007515316203
"R. Bouchniba (19, ES Tunis, Tunisian Ligue 1 22-23)","Adel Sabeel (25, Khorfakkan, UAE Pro League 22-23)",19.33536535469839
