Player 1,Player 2,Similarity
"Theo Hernández (25, Milan, Serie A 22-23)","E. Valeri (24, Cremonese, Serie A 22-23)",50.38152957662165
"Theo Hernández (25, Milan, Serie A 22-23)","A. Marušić (30, Lazio, Serie A 22-23)",15.221490891805928
"Theo Hernández (25, Milan, Serie A 22-23)","P. Ciurria (28, Monza, Serie A 22-23)",60.653231807645
"Theo Hernández (25, Milan, Serie A 22-23)","A. Candreva (36, Salernitana, Serie A 22-23)",59.60665297581625
"Theo Hernández (25, Milan, Serie A 22-23)","D. Udogie (20, Udinese, Serie A 22-23)",57.74154768206808
"Theo Hernández (25, Milan, Serie A 22-23)","J. Toljan (28, Sassuolo, Serie A 22-23)",26.499222242469195
"Theo Hernández (25, Milan, Serie A 22-23)","C. Biraghi (30, Fiorentina, Serie A 22-23)",44.72020016179119
"Theo Hernández (25, Milan, Serie A 22-23)","F. Kostić (30, Juventus, Serie A 22-23)",59.17998448828256
"Theo Hernández (25, Milan, Serie A 22-23)","S. Posch (26, Bologna, Serie A 22-23)",10.54384372154773
"Theo Hernández (25, Milan, Serie A 22-23)","A. Gallo (23, Lecce, Serie A 22-23)",43.08468322120517
"Theo Hernández (25, Milan, Serie A 22-23)","M. Léris (25, Sampdoria, Serie A 22-23)",8.40646881084854
"Theo Hernández (25, Milan, Serie A 22-23)","K. Amian (25, Spezia, Serie A 22-23)",32.33703545794528
"Theo Hernández (25, Milan, Serie A 22-23)","F. Depaoli (26, Hellas Verona, Serie A 22-23)",-6.801392985237484
"Theo Hernández (25, Milan, Serie A 22-23)","Dodô (24, Fiorentina, Serie A 22-23)",81.26635471810289
"Theo Hernández (25, Milan, Serie A 22-23)","L. Sernicola (25, Cremonese, Serie A 22-23)",38.68628832291349
"Theo Hernández (25, Milan, Serie A 22-23)","D. Bradarić (23, Salernitana, Serie A 22-23)",59.71654678467364
"Theo Hernández (25, Milan, Serie A 22-23)","N. Zalewski (21, Roma, Serie A 22-23)",54.66303563327087
"Theo Hernández (25, Milan, Serie A 22-23)","D. Lazović (32, Hellas Verona, Serie A 22-23)",42.747302451447766
"Theo Hernández (25, Milan, Serie A 22-23)","D. Dumfries (27, Internazionale, Serie A 22-23)",54.43311832037503
"Theo Hernández (25, Milan, Serie A 22-23)","J. Maehle (26, Atalanta, Serie A 22-23)",77.29014344161503
"Theo Hernández (25, Milan, Serie A 22-23)","A. Cambiaso (23, Bologna, Serie A 22-23)",51.06397839447303
"Theo Hernández (25, Milan, Serie A 22-23)","A. Reca (27, Spezia, Serie A 22-23)",61.85964755812542
"Theo Hernández (25, Milan, Serie A 22-23)","J. Cuadrado (35, Juventus, Serie A 22-23)",51.53694803359531
"Theo Hernández (25, Milan, Serie A 22-23)","F. Dimarco (25, Internazionale, Serie A 22-23)",54.08316558538997
"Theo Hernández (25, Milan, Serie A 22-23)","W. Singo (22, Torino, Serie A 22-23)",50.043895681439786
"Theo Hernández (25, Milan, Serie A 22-23)","E. Hysaj (29, Lazio, Serie A 22-23)",23.097604163266965
"Theo Hernández (25, Milan, Serie A 22-23)","P. Mazzocchi (27, Salernitana, Serie A 22-23)",63.748192302371024
"Theo Hernández (25, Milan, Serie A 22-23)","T. Ebuehi (27, Empoli, Serie A 22-23)",-8.734511891664669
"Theo Hernández (25, Milan, Serie A 22-23)","M. Lazzari (29, Lazio, Serie A 22-23)",73.92790328583882
"Theo Hernández (25, Milan, Serie A 22-23)","M. Vojvoda (28, Torino, Serie A 22-23)",41.91488308834208
"Theo Hernández (25, Milan, Serie A 22-23)","Mário Rui (32, Napoli, Serie A 22-23)",58.76338020416816
"Theo Hernández (25, Milan, Serie A 22-23)","L. Spinazzola (30, Roma, Serie A 22-23)",72.81521708441045
"Theo Hernández (25, Milan, Serie A 22-23)","D. Calabria (26, Milan, Serie A 22-23)",38.17730314064385
"Theo Hernández (25, Milan, Serie A 22-23)","M. Olivera (25, Napoli, Serie A 22-23)",53.472022388080894
"Theo Hernández (25, Milan, Serie A 22-23)","S. El Shaarawy (30, Roma, Serie A 22-23)",74.33135025830434
"Theo Hernández (25, Milan, Serie A 22-23)","P. Stojanović (27, Empoli, Serie A 22-23)",56.9586909736669
"Theo Hernández (25, Milan, Serie A 22-23)","A. Zanoli (22, Sampdoria, Serie A 22-23)",35.4886948764385
"Theo Hernández (25, Milan, Serie A 22-23)","K. Ehizibue (27, Udinese, Serie A 22-23)",-6.111780335114953
"Theo Hernández (25, Milan, Serie A 22-23)","Z. Çelik (26, Roma, Serie A 22-23)",42.206491119814544
"Theo Hernández (25, Milan, Serie A 22-23)","D. Faraoni (31, Hellas Verona, Serie A 22-23)",-15.296753526450525
"Theo Hernández (25, Milan, Serie A 22-23)","G. Kyriakopoulos (27, Bologna, Serie A 22-23)",77.53597361859434
"Theo Hernández (25, Milan, Serie A 22-23)","D. Zappacosta (30, Atalanta, Serie A 22-23)",69.10986800748537
"Theo Hernández (25, Milan, Serie A 22-23)","S. Birindelli (23, Monza, Serie A 22-23)",39.31644636994746
"Theo Hernández (25, Milan, Serie A 22-23)","E. Holm (22, Spezia, Serie A 22-23)",14.90029970786243
"Theo Hernández (25, Milan, Serie A 22-23)","H. Hateboer (29, Atalanta, Serie A 22-23)",29.663967235960847
"Theo Hernández (25, Milan, Serie A 22-23)","B. Bereszyński (30, Napoli, Serie A 22-23)",-9.712456800828004
"Theo Hernández (25, Milan, Serie A 22-23)","V. Lazaro (27, Torino, Serie A 22-23)",57.70710170119576
"Theo Hernández (25, Milan, Serie A 22-23)","J. Doig (21, Hellas Verona, Serie A 22-23)",33.468940941748606
"Theo Hernández (25, Milan, Serie A 22-23)","G. Kastanos (25, Salernitana, Serie A 22-23)",27.01158019959796
