Player 1,Player 2,Similarity
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","A. Sefer (23, Rapid Bucureşti, SuperLiga României 22-23)",59.7552799379243
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","R. Pop (17, UTA Arad, SuperLiga României 22-23)",41.02093421186229
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","S. Pănoiu (20, Rapid Bucureşti, SuperLiga României 22-23)",61.37523542190979
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","G. Cîmpanu (22, Universitatea Craiova, SuperLiga României 22-23)",62.54506676431016
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","L. Antal (33, Mioveni, SuperLiga României 22-23)",72.51097194411712
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","A. Şerban (22, Chindia Târgovişte, SuperLiga României 22-23)",65.64088383862126
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","Mateus Santos (24, Farul Constanţa, SuperLiga României 22-23)",44.61117613780212
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","P. Petrescu (29, Hermannstadt, SuperLiga României 22-23)",71.20808688095562
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","M. Cioiu (23, Botoşani, SuperLiga României 22-23)",35.33358793940002
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","A. Mazilu (17, Farul Constanţa, SuperLiga României 22-23)",26.516690793596315
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","C. Bărbuţ (28, Hermannstadt, SuperLiga României 22-23)",31.01204581902272
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","G. Crețu (23, Argeș, SuperLiga României 22-23)",18.084699205188414
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","J. Lukembila (23, Wil, Swiss Challenge League 22-23)",30.56284654423903
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","T. Okou (25, Stade Lausanne-Ouchy, Swiss Challenge League 22-23)",37.16084922241799
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","C. Souza (27, Bellinzona, Swiss Challenge League 22-23)",57.16513821041036
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","M. Tosetti (31, Bellinzona, Swiss Challenge League 22-23)",44.70953724194999
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","A. Ajdini (23, Stade Lausanne-Ouchy, Swiss Challenge League 22-23)",33.46275795823448
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","D. Del Toro (25, Neuchâtel Xamax, Swiss Challenge League 22-23)",49.981254282438336
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","D. Schwizer (26, Lausanne Sport, Swiss Challenge League 22-23)",60.930879493396304
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","T. Suzuki (23, Lausanne Sport, Swiss Challenge League 22-23)",26.408131781487693
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","S. Bahloul (23, Wil, Swiss Challenge League 22-23)",45.34730156919278
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","J. Hautier (19, Yverdon Sport, Swiss Challenge League 22-23)",30.742368681297737
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","R. Kalem (20, FC Schaffhausen, Swiss Challenge League 22-23)",24.316672745682723
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","D. Djokić (22, Vaduz, Swiss Challenge League 22-23)",25.954670817516163
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","Mauro Rodrigues (22, Yverdon Sport, Swiss Challenge League 22-23)",20.30934619915548
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","W. Vogt (20, FC Schaffhausen, Swiss Challenge League 22-23)",17.04961396796339
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","L. Mulaj (24, Stade Lausanne-Ouchy, Swiss Challenge League 22-23)",64.72861608897614
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","L. Vishi (21, Yverdon Sport, Swiss Challenge League 22-23)",45.41083337637147
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","A. Ouhafsa (25, Neuchâtel Xamax, Swiss Challenge League 22-23)",31.151856103030163
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","M. Stevanović (32, Servette, Swiss Super League 22-23)",53.45923348590651
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","P. Pflücke (26, Servette, Swiss Super League 22-23)",77.17705435289885
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","D. Ndoye (22, Basel, Swiss Super League 22-23)",15.547556316337769
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","R. Steffen (31, Lugano, Swiss Super League 22-23)",75.75317471843637
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","P. Schürpf (33, Luzern, Swiss Super League 22-23)",43.32354179342725
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","I. Chouaref (22, Sion, Swiss Super League 22-23)",24.15925689691541
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","Itaitinga (24, Sion, Swiss Super League 22-23)",27.179174524611465
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","L. Millar (23, Basel, Swiss Super League 22-23)",34.085523887788376
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","N. Burkart (23, Winterthur, Swiss Super League 22-23)",-6.852247798095
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","I. Aliseda (23, Lugano, Swiss Super League 22-23)",18.615081862091717
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","K. Bua (29, Sion, Swiss Super League 22-23)",55.09527294454838
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","M. Amoura (23, Lugano, Swiss Super League 22-23)",31.392199151935746
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","H. Mahou (23, Lugano, Swiss Super League 22-23)",18.257309278899942
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","M. Fall (31, Kasımpaşa, Süper Lig 22-23)",26.751859567750596
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","K. Aktürkoğlu (24, Galatasaray, Süper Lig 22-23)",58.72725145031157
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","Borja Sainz (22, Giresunspor, Süper Lig 22-23)",29.2144238983992
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","Serginho (28, Giresunspor, Süper Lig 22-23)",37.48079413749009
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","F. Borini (32, Fatih Karagümrük, Süper Lig 22-23)",39.20246588690596
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","E. Karaca (33, Alanyaspor, Süper Lig 22-23)",44.07926128340665
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","M. Gradel (35, Sivasspor, Süper Lig 22-23)",51.74552735216152
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","V. Ethemi (25, İstanbulspor, Süper Lig 22-23)",65.61209499576657
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","Mahmoud Trézéguet (28, Trabzonspor, Süper Lig 22-23)",38.39147019901458
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","S. Lobjanidze (28, Fatih Karagümrük, Süper Lig 22-23)",45.721894397146826
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","S. Larsson (30, Antalyaspor, Süper Lig 22-23)",51.43050525632042
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","D. Türüç (30, İstanbul Başakşehir, Süper Lig 22-23)",75.09607858712532
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","E. Kılınç (28, Ankaragücü, Süper Lig 22-23)",74.74072821508
"W. Baeten (26, U Craiova 1948, SuperLiga României 22-23)","H. Onyekuru (25, Adana Demirspor, Süper Lig 22-23)",28.49146149197505
